Sno,Date,Headline,Covid,Sentiment,Description,Image,Source,Text
0,2020-04-29,"Coronavirus cases reach 2,438 in Rajasthan; 814 patients recover",1,0,"Rajasthan on Wednesday reported 74 new coronavirus cases, taking the total number of cases in the state to 2,438. All three deaths reported in the state today were from Jaipur, taking the death toll to 55. Notably, 814 patients have recovered in the state and 592 were discharged. Jaipur is the worst-hit district with 878 cases and 30 deaths.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588180677405_112.jpg,http://www.rajswasthya.nic.in/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Coronavirus cases reach 2,438 in Rajasthan; 814 patients recover Rajasthan on Wednesday reported 74 new coronavirus cases, taking the total number of cases in the state to 2,438. All three deaths reported in the state today were from Jaipur, taking the death toll to 55. Notably, 814 patients have recovered in the state and 592 were discharged. Jaipur is the worst-hit district with 878 cases and 30 deaths."
1,2020-04-29,"Coronavirus cases in Delhi surge to 3,439 after 125 new cases reported today",1,0,"The total number of coronavirus cases in Delhi has surged to 3,439 after 125 new cases were reported today. Further, the death toll rose to 56 after two new deaths were reported today. The number of active cases in Delhi stands at 2,291, while 1,092 COVID-19 patients have recovered in the national capital so far.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588181882672_564.jpg,https://twitter.com/shemin_joy/status/1255548935550070786?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Coronavirus cases in Delhi surge to 3,439 after 125 new cases reported today The total number of coronavirus cases in Delhi has surged to 3,439 after 125 new cases were reported today. Further, the death toll rose to 56 after two new deaths were reported today. The number of active cases in Delhi stands at 2,291, while 1,092 COVID-19 patients have recovered in the national capital so far."
2,2020-04-30,"Anguished, I'll always recall our interactions: PM Modi on Rishi Kapoor's death",0,1,"Condoling the demise of actor Rishi Kapoor, PM Narendra Modi tweeted, ""Multifaceted, endearing and lively...this was Rishi Kapoor Ji. He was a powerhouse of talent."" He added, ""I will always recall our interactions, even on social media. He was passionate about films and India's progress."" He further wrote, ""Anguished by his demise. Condolences to his family and fans. Om Shanti.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588225689192_672.jpg,https://twitter.com/narendramodi/status/1255733640299835392?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Anguished, I'll always recall our interactions: PM Modi on Rishi Kapoor's death Condoling the demise of actor Rishi Kapoor, PM Narendra Modi tweeted, ""Multifaceted, endearing and lively...this was Rishi Kapoor Ji. He was a powerhouse of talent."" He added, ""I will always recall our interactions, even on social media. He was passionate about films and India's progress."" He further wrote, ""Anguished by his demise. Condolences to his family and fans. Om Shanti."""
3,2020-04-30,It's a terrible week for Indian cinema: Rahul Gandhi on Rishi Kapoor's demise,0,0,"Congress leader Rahul Gandhi condoled Rishi Kapoor's demise and tweeted, ""This is a terrible week for Indian cinema, with the passing of another legend."" ""He carved a special place in the hearts of his fans with...his performances,"" Defence Minister Rajnath Singh tweeted on Kapoor's demise. ""A great loss to the world of creativity,"" Union Minister Ravi Shankar Prasad said.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588225858917_208.jpg,https://zeenews.india.com/india/politicians-mourn-death-of-versatile-wonderful-actor-rishi-kapoor-2280092.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"It's a terrible week for Indian cinema: Rahul Gandhi on Rishi Kapoor's demise Congress leader Rahul Gandhi condoled Rishi Kapoor's demise and tweeted, ""This is a terrible week for Indian cinema, with the passing of another legend."" ""He carved a special place in the hearts of his fans with...his performances,"" Defence Minister Rajnath Singh tweeted on Kapoor's demise. ""A great loss to the world of creativity,"" Union Minister Ravi Shankar Prasad said."
4,2020-04-30,Delhi Police perform 'parikrama' of AIIMS to thank medical staff,1,1,"As a sign of respect for healthcare professionals fighting COVID-19, the Delhi Police on Wednesday undertook a 'parikrama' of the All India Institute of Medical Sciences (AIIMS) in New Delhi. The convoy which was led by female personnel had as many as 51 'COVID Patrol' motorcycles of South Delhi District Police. There are over 33,000 coronavirus cases in India.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588215561543_799.jpg,https://zeenews.india.com/india/delhi-police-perform-parikarma-of-aiims-to-pay-respect-to-coronavirus-covid-19-warriors-2280065.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Delhi Police perform 'parikrama' of AIIMS to thank medical staff As a sign of respect for healthcare professionals fighting COVID-19, the Delhi Police on Wednesday undertook a 'parikrama' of the All India Institute of Medical Sciences (AIIMS) in New Delhi. The convoy which was led by female personnel had as many as 51 'COVID Patrol' motorcycles of South Delhi District Police. There are over 33,000 coronavirus cases in India."
5,2020-04-30,MP government offices resume work with 30% staff,1,1,"Madhya Pradesh Chief Minister Shivraj Singh Chouhan has announced that state government offices, including the secretariat, will resume work with 30% staff from Thursday. Stating that the Madhya Pradesh government has started normal economic activities in green zone districts, Chouhan added, ""We are gradually controlling the situation with people's cooperation."" ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588216205575_634.jpg,https://www.financialexpress.com/india-news/madhya-pradesh-government-offices-to-resume-work-with-30-staff-from-thursday/1943559/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"MP government offices resume work with 30% staff Madhya Pradesh Chief Minister Shivraj Singh Chouhan has announced that state government offices, including the secretariat, will resume work with 30% staff from Thursday. Stating that the Madhya Pradesh government has started normal economic activities in green zone districts, Chouhan added, ""We are gradually controlling the situation with people's cooperation."" "
6,2020-04-30,"Over 6k labourers, students brought back to J&K in past 4 days amid lockdown",1,1,"J&K administration has brought back 6,355 labourers and students of the Union Territory in the past four days who were stranded in various parts of the country amid lockdown imposed to control coronavirus spread. ""As many as 3,022 people of J&K have been evacuated from various states during the past 24 hours,"" Ajeet Sahu, Commissioner Secretary, Jal Shakti Department added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221280041_655.jpg,https://www.financialexpress.com/india-news/over-6000-labourers-students-brought-back-to-jk-in-past-4-days-amid-coronavirus-lockdown/1943355/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Over 6k labourers, students brought back to J&K in past 4 days amid lockdown J&K administration has brought back 6,355 labourers and students of the Union Territory in the past four days who were stranded in various parts of the country amid lockdown imposed to control coronavirus spread. ""As many as 3,022 people of J&K have been evacuated from various states during the past 24 hours,"" Ajeet Sahu, Commissioner Secretary, Jal Shakti Department added."
7,2020-04-30,"127 new COVID-19 cases in Pune district in 12 hours, total exceeds 1,700",1,0,"As many as 127 new cases of coronavirus have been reported in Pune district in the last 12 hours, taking the total number of cases in the district to 1,722, District Health Officer Bhagwan Pawar has stated. Meanwhile, the total number of COVID-19 cases in Maharashtra have neared 10,000, and over 400 patients have passed away.  ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588222226673_727.jpg,https://twitter.com/ANI/status/1255711468579958788?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"127 new COVID-19 cases in Pune district in 12 hours, total exceeds 1,700 As many as 127 new cases of coronavirus have been reported in Pune district in the last 12 hours, taking the total number of cases in the district to 1,722, District Health Officer Bhagwan Pawar has stated. Meanwhile, the total number of COVID-19 cases in Maharashtra have neared 10,000, and over 400 patients have passed away.  "
8,2020-04-30,Journalist among 10 new COVID-19 cases reported in Kerala,1,0,"Kerala Chief Minister Pinarayi Vijayan on Wednesday said that a television journalist and three healthcare workers were among the ten people who tested positive for COVID-19 in Kerala. Of the new cases, six were reported from Kollam, two each from Kasargod and Thiruvananthapuram. There are 495 coronavirus cases in the state.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588227594591_347.jpg,https://www.newindianexpress.com/states/kerala/2020/apr/29/journalist-among-ten-new-covid-19-cases-reported-in-kerala-2136978.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Journalist among 10 new COVID-19 cases reported in Kerala Kerala Chief Minister Pinarayi Vijayan on Wednesday said that a television journalist and three healthcare workers were among the ten people who tested positive for COVID-19 in Kerala. Of the new cases, six were reported from Kollam, two each from Kasargod and Thiruvananthapuram. There are 495 coronavirus cases in the state."
9,2020-04-30,"Maha's Nashik district reports 71 new cases, including 6 police personnel",1,0,"Coronavirus cases in the Nashik district of Maharashtra have risen to 276 after 71 people tested positive, officials have stated. The fresh cases, most of which are from Malegaon, included six police personnel and three children aged three months, 5 years and 11 years respectively. The death toll in Nashik district stands at 12.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588230088617_628.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Maha's Nashik district reports 71 new cases, including 6 police personnel Coronavirus cases in the Nashik district of Maharashtra have risen to 276 after 71 people tested positive, officials have stated. The fresh cases, most of which are from Malegaon, included six police personnel and three children aged three months, 5 years and 11 years respectively. The death toll in Nashik district stands at 12."
10,2020-04-30,"22 new cases of COVID-19 in Karnataka, total crosses 550",1,0,"Karnataka has reported 22 new cases of coronavirus in less than 24 hours, taking the total number of cases in the state to 557, the state government has said. Over 220 coronavirus patients have been discharged from hospitals, while 21 patients have passed away. On Tuesday, the Karnataka government had allowed economic activities to restart in 'green zones'.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588233153745_257.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"22 new cases of COVID-19 in Karnataka, total crosses 550 Karnataka has reported 22 new cases of coronavirus in less than 24 hours, taking the total number of cases in the state to 557, the state government has said. Over 220 coronavirus patients have been discharged from hospitals, while 21 patients have passed away. On Tuesday, the Karnataka government had allowed economic activities to restart in 'green zones'."
11,2020-04-30,Sanitation worker donates 1 month's salary to Telangana CM Relief Fund,1,1,"A sanitation worker, A Alivelu, in Telangana's Hyderabad, donated her one month's salary of ₹10,000 to CM Relief Fund on Tuesday. She handed over the cheque to IT Minister KT Rama Rao who tweeted and said Alivelu didn't want anything in return and insisted him to accept the donation. Alivelu's husband is a daily wage labourer at a vegetable market.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588233838026_253.jpg,https://www.newindianexpress.com/states/telangana/2020/apr/29/sanitation-worker-donates-rs-10000-to-telangana-cm-relief-fund-2136675.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Sanitation worker donates 1 month's salary to Telangana CM Relief Fund A sanitation worker, A Alivelu, in Telangana's Hyderabad, donated her one month's salary of ₹10,000 to CM Relief Fund on Tuesday. She handed over the cheque to IT Minister KT Rama Rao who tweeted and said Alivelu didn't want anything in return and insisted him to accept the donation. Alivelu's husband is a daily wage labourer at a vegetable market."
12,2020-04-30,4 more traders in Delhi's Azadpur Mandi test coronavirus positive,1,0,"As many as four more traders from Delhi's Azadpur Mandi have tested positive for coronavirus, according to authorities. The total number of traders associated with the Mandi to be infected by coronavirus now stands at 15, an Azadpur Mandi official said. So far, more than 3,400 COVID-19 cases have been recorded in the national capital.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588228483309_120.jpg,https://twitter.com/ANI/status/1255723715091816449?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"4 more traders in Delhi's Azadpur Mandi test coronavirus positive As many as four more traders from Delhi's Azadpur Mandi have tested positive for coronavirus, according to authorities. The total number of traders associated with the Mandi to be infected by coronavirus now stands at 15, an Azadpur Mandi official said. So far, more than 3,400 COVID-19 cases have been recorded in the national capital."
13,2020-04-30,Karnataka converts state transport bus into Mobile Fever Clinic,1,1,"Karnataka State Road Transport Corporation (KSRTC) converted one of its buses into a Mobile Fever Clinic in Mangaluru amid COVID-19 pandemic. The move has been taken to ensure sufficient availability of basic medical facilities for people across the state. The facilities in the bus include a bed, seating facility, medicine box, washbasin, sanitizer, separate water facility, among other things.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588218252578_227.jpg,https://www.aninews.in/news/national/general-news/covid-19-ksrtc-converts-bus-into-mobile-fever-clinic20200430055313/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Karnataka converts state transport bus into Mobile Fever Clinic Karnataka State Road Transport Corporation (KSRTC) converted one of its buses into a Mobile Fever Clinic in Mangaluru amid COVID-19 pandemic. The move has been taken to ensure sufficient availability of basic medical facilities for people across the state. The facilities in the bus include a bed, seating facility, medicine box, washbasin, sanitizer, separate water facility, among other things."
14,2020-04-30,US praises India for lifting export restrictions on critical medical supplies,1,1,"US Secretary of State Mike Pompeo on Wednesday praised India for lifting export bans on critical medical supplies including pharmaceuticals used to treat COVID-19 patients. He said it was an example of working together with partner countries to tackle the challenges posed by the coronavirus pandemic. In the US, over 10,39,900 Americans have been infected by the coronavirus.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588219461682_218.jpg,https://www.financialexpress.com/india-news/mike-pompeo-praises-india-for-lifting-export-restrictions-on-critical-medical-supplies/1943704/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"US praises India for lifting export restrictions on critical medical supplies US Secretary of State Mike Pompeo on Wednesday praised India for lifting export bans on critical medical supplies including pharmaceuticals used to treat COVID-19 patients. He said it was an example of working together with partner countries to tackle the challenges posed by the coronavirus pandemic. In the US, over 10,39,900 Americans have been infected by the coronavirus."
15,2020-04-30,"10 test +ve in Haryana's Jhajjar district, 9 had travelled to Delhi",1,0,"Ten fresh cases of coronavirus have been reported in Haryana's Jhajjar district, taking the total number of cases in the district to 18, Chief Medical Officer Dr Randeep Puniya stated. Among the fresh cases, nine are vegetable vendors who have a history of travelling to Delhi and one is a nurse at a hospital. Haryana has over 300 COVID-19 cases. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221440189_308.jpg,https://www.financialexpress.com/lifestyle/health/coronavirus-in-india-live-updates-lockdown-extension-guidelines-covid-19-tracker-latest-news-state-wise-delhi-maharashtra-up/1943824/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"10 test +ve in Haryana's Jhajjar district, 9 had travelled to Delhi Ten fresh cases of coronavirus have been reported in Haryana's Jhajjar district, taking the total number of cases in the district to 18, Chief Medical Officer Dr Randeep Puniya stated. Among the fresh cases, nine are vegetable vendors who have a history of travelling to Delhi and one is a nurse at a hospital. Haryana has over 300 COVID-19 cases. "
16,2020-04-30,"86 new COVID-19 cases reported in Rajasthan, total cases in state now 2,524",1,0,"The Rajasthan Health Department said that 86 new COVID-19 cases were recorded in the state till Thursday morning, taking the total number of cases there to 2,524. The state has also reported two coronavirus-related deaths from Jaipur. The health department added that 827 patients in Rajasthan have recovered from COVID-19 till date.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588221398103_172.jpg,https://twitter.com/ANI/status/1255711458232430593?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"86 new COVID-19 cases reported in Rajasthan, total cases in state now 2,524 The Rajasthan Health Department said that 86 new COVID-19 cases were recorded in the state till Thursday morning, taking the total number of cases there to 2,524. The state has also reported two coronavirus-related deaths from Jaipur. The health department added that 827 patients in Rajasthan have recovered from COVID-19 till date."
17,2020-04-30,"71 new COVID-19 cases in Andhra, total infections cross 1,400",1,0,"As many as 71 coronavirus cases have been reported in Andhra Pradesh in the last 24 hours, taking the total in the state to 1,403, the state government has said. It stated that 321 COVID-19 patients have been discharged and there have been 31 deaths in the state so far. It added, ""No death reported in the last 24 hours.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588231179039_96.jpg,https://zeenews.india.com/india/live-updates/coronavirus-india-covid-19-live-updates-april-30-2280060?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"71 new COVID-19 cases in Andhra, total infections cross 1,400 As many as 71 coronavirus cases have been reported in Andhra Pradesh in the last 24 hours, taking the total in the state to 1,403, the state government has said. It stated that 321 COVID-19 patients have been discharged and there have been 31 deaths in the state so far. It added, ""No death reported in the last 24 hours."""
18,2020-04-30,SC refuses to stay government's Central Vista project in Delhi,0,0,"The Supreme Court has refused to stay the ₹20,000-crore Central Vista project for a new parliament and government offices in Lutyens' zone in New Delhi. Chief Justice of India SA Bobde said, ""A similar petition is pending and there is no need to duplicate it."" The petitioner had claimed the project will deprive the public of enjoying open spaces.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588234342904_754.jpg,https://twitter.com/ANI/status/1255761914682105856?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"SC refuses to stay government's Central Vista project in Delhi The Supreme Court has refused to stay the ₹20,000-crore Central Vista project for a new parliament and government offices in Lutyens' zone in New Delhi. Chief Justice of India SA Bobde said, ""A similar petition is pending and there is no need to duplicate it."" The petitioner had claimed the project will deprive the public of enjoying open spaces."
19,2020-04-29,"Man burnt alive, 7 houses and temple gutted in fire in HP village",0,0,"A 35-year-old man was burnt alive while two persons sustained injuries after at least seven houses and a temple were gutted in a fire that broke out in a village in Chirgaon in Himachal Pradesh's Shimla district on Wednesday. District administration said that a relief of ₹10,000 was provided to the deceased's family while those injured were given ₹5,000 each.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/29_wed/img_1588179226474_730.jpg,https://covid-positive-news.herokuapp.com,"Man burnt alive, 7 houses and temple gutted in fire in HP village A 35-year-old man was burnt alive while two persons sustained injuries after at least seven houses and a temple were gutted in a fire that broke out in a village in Chirgaon in Himachal Pradesh's Shimla district on Wednesday. District administration said that a relief of ₹10,000 was provided to the deceased's family while those injured were given ₹5,000 each."
20,2020-04-30,"India needs ₹65,000 cr to help the poor, it isn't much: Rajan tells Rahul Gandhi",0,1,"In a conversation with Congress MP Rahul Gandhi, former RBI Governor Raghuram Rajan said India needs to spend ₹65,000 crore to help the poor during the pandemic. ""Our GDP is ₹200 lakh crore, out of that ₹65,000 crore isn't that much. We can do it. If it is to save lives of the poor, it must be done,"" Rajan added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2020/04_apr/30_thu/img_1588232427179_441.jpg,https://www.deccanherald.com/business/india-needs-rs-65000-cr-to-help-the-poor-tide-over-lockdown-raghuram-rajan-to-rahul-gandhi-831703.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"India needs ₹65,000 cr to help the poor, it isn't much: Rajan tells Rahul Gandhi In a conversation with Congress MP Rahul Gandhi, former RBI Governor Raghuram Rajan said India needs to spend ₹65,000 crore to help the poor during the pandemic. ""Our GDP is ₹200 lakh crore, out of that ₹65,000 crore isn't that much. We can do it. If it is to save lives of the poor, it must be done,"" Rajan added."
